"filename", "language", "JSON", "SQL", "JSON with Comments", "TypeScript", "JavaScript", "HTML", "CSS", "Markdown", "XML", "SCSS", "comment", "blank", "total"
"c:\Users\andy_\OneDrive\Documentos\Vinculacion\Back-End\Modulos\Mod-Convenios\controllers\convenioController.js", "JavaScript", 0, 0, 0, 0, 199, 0, 0, 0, 0, 0, 22, 94, 315
"c:\Users\andy_\OneDrive\Documentos\Vinculacion\Back-End\Modulos\Mod-Convenios\controllers\coordinadorController.js", "JavaScript", 0, 0, 0, 0, 60, 0, 0, 0, 0, 0, 2, 25, 87
"c:\Users\andy_\OneDrive\Documentos\Vinculacion\Back-End\Modulos\Mod-Convenios\controllers\dependenciaController.js", "JavaScript", 0, 0, 0, 0, 50, 0, 0, 0, 0, 0, 2, 18, 70
"c:\Users\andy_\OneDrive\Documentos\Vinculacion\Back-End\Modulos\Mod-Convenios\controllers\institucionController.js", "JavaScript", 0, 0, 0, 0, 52, 0, 0, 0, 0, 0, 0, 11, 63
"c:\Users\andy_\OneDrive\Documentos\Vinculacion\Back-End\Modulos\Mod-Convenios\controllers\planificacionControler.js", "JavaScript", 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 4, 19
"c:\Users\andy_\OneDrive\Documentos\Vinculacion\Back-End\Modulos\Mod-Convenios\routes\rutasConvenio.js", "JavaScript", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 5, 17
"c:\Users\andy_\OneDrive\Documentos\Vinculacion\Back-End\Modulos\Mod-Convenios\routes\rutasCoordinador.js", "JavaScript", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 3, 12
"c:\Users\andy_\OneDrive\Documentos\Vinculacion\Back-End\Modulos\Mod-Convenios\routes\rutasDependencia.js", "JavaScript", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 2, 10
"c:\Users\andy_\OneDrive\Documentos\Vinculacion\Back-End\Modulos\Mod-Convenios\routes\rutasInstitucion.js", "JavaScript", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 4, 12
"c:\Users\andy_\OneDrive\Documentos\Vinculacion\Back-End\Modulos\Mod-Convenios\routes\rutasPlanificacion.js", "JavaScript", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 2, 7
"c:\Users\andy_\OneDrive\Documentos\Vinculacion\Back-End\Modulos\Mod-Seguimiento\controllers\EstadoInformeController.js", "JavaScript", 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 14, 39
"c:\Users\andy_\OneDrive\Documentos\Vinculacion\Back-End\Modulos\Mod-Seguimiento\controllers\actividadInformeController.js", "JavaScript", 0, 0, 0, 0, 54, 0, 0, 0, 0, 0, 0, 18, 72
"c:\Users\andy_\OneDrive\Documentos\Vinculacion\Back-End\Modulos\Mod-Seguimiento\controllers\eqInformeController.js", "JavaScript", 0, 0, 0, 0, 58, 0, 0, 0, 0, 0, 0, 19, 77
"c:\Users\andy_\OneDrive\Documentos\Vinculacion\Back-End\Modulos\Mod-Seguimiento\controllers\informeController.js", "JavaScript", 0, 0, 0, 0, 138, 0, 0, 0, 0, 0, 4, 52, 194
"c:\Users\andy_\OneDrive\Documentos\Vinculacion\Back-End\Modulos\Mod-Seguimiento\routes\rutasActividadInforme.js", "JavaScript", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 2, 10
"c:\Users\andy_\OneDrive\Documentos\Vinculacion\Back-End\Modulos\Mod-Seguimiento\routes\rutasEqInforme.js", "JavaScript", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 4, 12
"c:\Users\andy_\OneDrive\Documentos\Vinculacion\Back-End\Modulos\Mod-Seguimiento\routes\rutasEstadoInforme.js", "JavaScript", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 4, 10
"c:\Users\andy_\OneDrive\Documentos\Vinculacion\Back-End\Modulos\Mod-Seguimiento\routes\rutasInforme.js", "JavaScript", 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 4, 17
"c:\Users\andy_\OneDrive\Documentos\Vinculacion\Back-End\Modulos\Mod-Seguridad\controllers\index.AccionController.js", "JavaScript", 0, 0, 0, 0, 61, 0, 0, 0, 0, 0, 1, 19, 81
"c:\Users\andy_\OneDrive\Documentos\Vinculacion\Back-End\Modulos\Mod-Seguridad\controllers\index.FuncionController.js", "JavaScript", 0, 0, 0, 0, 61, 0, 0, 0, 0, 0, 1, 16, 78
"c:\Users\andy_\OneDrive\Documentos\Vinculacion\Back-End\Modulos\Mod-Seguridad\controllers\index.GrupoController.js", "JavaScript", 0, 0, 0, 0, 61, 0, 0, 0, 0, 0, 1, 12, 74
"c:\Users\andy_\OneDrive\Documentos\Vinculacion\Back-End\Modulos\Mod-Seguridad\controllers\index.PerfilController.js", "JavaScript", 0, 0, 0, 0, 94, 0, 0, 0, 0, 0, 1, 24, 119
"c:\Users\andy_\OneDrive\Documentos\Vinculacion\Back-End\Modulos\Mod-Seguridad\controllers\index.RolController.js", "JavaScript", 0, 0, 0, 0, 63, 0, 0, 0, 0, 0, 2, 30, 95
"c:\Users\andy_\OneDrive\Documentos\Vinculacion\Back-End\Modulos\Mod-Seguridad\routes\index.rutasAccion.js", "JavaScript", 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 3, 13
"c:\Users\andy_\OneDrive\Documentos\Vinculacion\Back-End\Modulos\Mod-Seguridad\routes\index.rutasFuncion.js", "JavaScript", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 3, 12
"c:\Users\andy_\OneDrive\Documentos\Vinculacion\Back-End\Modulos\Mod-Seguridad\routes\index.rutasGrupo.js", "JavaScript", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 4, 13
"c:\Users\andy_\OneDrive\Documentos\Vinculacion\Back-End\Modulos\Mod-Seguridad\routes\index.rutasPerfil.js", "JavaScript", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 3, 15
"c:\Users\andy_\OneDrive\Documentos\Vinculacion\Back-End\Modulos\Mod-Seguridad\routes\index.rutasRol.js", "JavaScript", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 4, 13
"c:\Users\andy_\OneDrive\Documentos\Vinculacion\Back-End\funciones\calculoPeriodoPlanificación.js", "JavaScript", 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 1, 8, 33
"c:\Users\andy_\OneDrive\Documentos\Vinculacion\Back-End\funciones\conexionBase.js", "JavaScript", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 2, 11
"c:\Users\andy_\OneDrive\Documentos\Vinculacion\Back-End\index.js", "JavaScript", 0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 7, 9, 47
"c:\Users\andy_\OneDrive\Documentos\Vinculacion\Back-End\package-lock.json", "JSON", 2128, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2129
"c:\Users\andy_\OneDrive\Documentos\Vinculacion\Back-End\package.json", "JSON", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 21
"c:\Users\andy_\OneDrive\Documentos\Vinculacion\Back-End\rutas\mod-convenios.js", "JavaScript", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 2, 10
"c:\Users\andy_\OneDrive\Documentos\Vinculacion\Back-End\rutas\mod-seguimiento.js", "JavaScript", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 1, 9
"c:\Users\andy_\OneDrive\Documentos\Vinculacion\Back-End\rutas\mod-seguridad.js", "JavaScript", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 3, 11
"c:\Users\andy_\OneDrive\Documentos\Vinculacion\Back-End\rutas\rutas-funciones.js", "JavaScript", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 2, 6
"c:\Users\andy_\OneDrive\Documentos\Vinculacion\CalcularPeriodos\calculo.js", "JavaScript", 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 1, 12, 34
